item_key,source_type,location_key,quest_key,npc_key,vendor_key,boss_key,source_flag_key,acquisition_method,quantity,price_gold,is_repeatable,is_missable,spoiler_level,priority_score,notes,source_key
two_hander,location,trevo_mine,vocation_frustration,,,,,chest,1,,0,0,1,100,Required greatsword for Warrior unlock.,game8
grievous_horns,location,trevo_mine,vocation_frustration,,,,,chest,1,,0,0,1,100,Required archistaff for Sorcerer unlock.,game8
ferrystone,location,trevo_mine,,,,,,chest,1,,0,0,1,80,Optional Trevo Mine fast-travel consumable.,game8
ring_of_cooling,location,trevo_mine,,,,,,chest,1,,0,0,1,70,Optional Trevo Mine accessory.,game8
signs_of_valor,location,trevo_mine,,,,,,chest,1,,0,0,1,60,Optional Trevo Mine weapon loot.,game8
rangers_tights,location,trevo_mine,,,,,,chest,1,,0,0,1,55,Optional Trevo Mine armor loot.,game8
jasper,location,trevo_mine,,,,,,loot,3,,0,0,1,45,Optional Trevo Mine value/material loot.,game8
explosive_arrow,location,trevo_mine,,,,,,loot,5,,0,0,1,30,Optional Trevo Mine ammo loot.,game8
golden_trove_beetle,location,gtb_martyrs_resting_place_tree,,,,,,pickup_tree,1,,0,0,1,94,Estimated Golden Trove Beetle marker. Public sources describe beetles on/near trees along roads; exact position must be calibrated in own map.,community_crosscheck
golden_trove_beetle,location,gtb_melve_south_road_tree,,,,,,pickup_tree,1,,0,0,1,93,Estimated Golden Trove Beetle marker. Public sources describe beetles on/near trees along roads; exact position must be calibrated in own map.,community_crosscheck
golden_trove_beetle,location,gtb_melve_east_path_tree,,,,,,pickup_tree,1,,0,0,1,92,Estimated Golden Trove Beetle marker. Public sources describe beetles on/near trees along roads; exact position must be calibrated in own map.,community_crosscheck
golden_trove_beetle,location,gtb_vernworth_north_road_tree,,,,,,pickup_tree,1,,0,0,1,91,Estimated Golden Trove Beetle marker. Public sources describe beetles on/near trees along roads; exact position must be calibrated in own map.,community_crosscheck
golden_trove_beetle,location,gtb_vernworth_west_road_tree,,,,,,pickup_tree,1,,0,0,1,90,Estimated Golden Trove Beetle marker. Public sources describe beetles on/near trees along roads; exact position must be calibrated in own map.,community_crosscheck
golden_trove_beetle,location,gtb_trevo_mine_approach_tree,,,,,,pickup_tree,1,,0,0,1,89,Estimated Golden Trove Beetle marker. Public sources describe beetles on/near trees along roads; exact position must be calibrated in own map.,community_crosscheck
golden_trove_beetle,location,gtb_checkpoint_rest_road_tree,,,,,,pickup_tree,1,,0,0,1,88,Estimated Golden Trove Beetle marker. Public sources describe beetles on/near trees along roads; exact position must be calibrated in own map.,community_crosscheck
golden_trove_beetle,location,gtb_bakbattahl_north_road_tree,,,,,,pickup_tree,1,,0,0,1,87,Estimated Golden Trove Beetle marker. Public sources describe beetles on/near trees along roads; exact position must be calibrated in own map.,community_crosscheck
newt_liqueur,vendor,higgs_tavern_stand,the_sotted_sage,,higgs_tavern_stand,,access_unlocked:higgs_secret_shop,buy_secret_shop,3,5000,0,0,2,100,Secret Higg's Tavern Stand route. Wear Beastren Mask and complete the sack interaction; guide sources report three bottles at 5000G each.,game8
newt_liqueur,vendor,earland_bakbattahl_east_stall,the_sotted_sage,earland,earland_bakbattahl,,,buy_vendor,1,2000,0,0,2,85,East Bakbattahl merchant source reported by public guide sources; verify availability.,gamesradar
newt_liqueur,location,forbidden_magick_research_lab,the_sotted_sage,,,,,pickup_lab,1,,0,0,2,80,Pickup source in the Forbidden Magick Research Lab / Chemical Stores; verify exact room.,gamesradar
newt_liqueur,location,windwalkers_home,the_sotted_sage,gautstafr,,,quest_active:put_a_spring_in_thy_step,pickup_home,1,,0,0,2,90,Bottle in Gautstafr's home during/around Put a Spring in Thy Step.,game8
newt_liqueur,crafting,,the_sotted_sage,,,,has:fruit_wine_and_saurian_tail,combine,1,,1,0,2,70,Combine Fruit Wine and Saurian Tail. Fruit Wine is the bottleneck; use as backup route.,game8
portcrystal,location,forested_griffin_nest,,,,,,pickup_nest,1,,0,0,2,90,Portable Portcrystal in Forested Griffin's Nest in Misty Marshes; exact marker should be verified.,game8
portcrystal,quest,sacred_arbor,a_trial_of_archery,glyndwr,,,quest_completed:a_trial_of_archery,quest_reward,1,,0,0,2,80,Quest reward route through Glyndwr/Sacred Arbor questline.,game8
portcrystal,quest,stardrop_inn,feast_of_deception,brant,,,quest_completed:feast_of_deception,quest_reward,1,,0,0,2,95,Main quest reward. Warning: story progression may close or fail some earlier content.,powerpyx
portcrystal,vendor,dragonforged,,dragonforged_npc,dragonforged_vendor,,currency:wlc_20,buy_wlc,1,,0,0,2,70,Dragonforged purchase for 20 Wyrmslife Crystals.,game8
portcrystal,quest,mountain_shrine,a_game_of_wits,,,,sphinx_riddle:madness_or_conviction,sphinx_reward,1,,0,1,3,65,Sphinx riddle route can award/duplicate Portcrystals depending on riddle choice; mark spoiler-heavy and verify before route use.,community_crosscheck
beastren_mask,vendor,ibrahims_scrap_store,,ibrahim,ibrahims_scrap_store,,,buy_vendor,1,8700,0,0,1,80,Fast reliable mask source for accessing Higg's Tavern Stand route.,siliconera
fruit_wine,quest,stardrop_inn,feast_of_deception,brant,,,quest_completed:feast_of_deception,quest_reward_or_gift_context,1,,0,0,2,50,Fruit Wine can support Newt Liqueur crafting; expand exact reward routes later.,game8
saurian_tail,enemy_drop,,,,,,,enemy_drop,1,,1,0,1,50,Farm from Saurians by cutting tails; exact farming spots can be added later.,game8
wyrmslife_crystal,enemy_drop,,,,,dragon,,dragon_drop,1,,1,0,2,50,Used for Dragonforged purchases including Portcrystal; farm route later.,game8
