npc_key,location_key,time_of_day,condition_flag_key,relation_type,notes
lennart,melve,any,,appears_at,Computed location link for data browser/map jump.
gregor,melve,any,,appears_at,Computed location link for data browser/map jump.
brant,stardrop_inn,any,,appears_at,Computed location link for data browser/map jump.
klaus,vernworth_vocation_guild,any,,appears_at,Computed location link for data browser/map jump.
roderick,rodericks_smithy,any,,appears_at,Computed location link for data browser/map jump.
ulrika,melve,any,,appears_at,Computed location link for data browser/map jump.
sigurd,melve,any,,early_unlock_opportunity,Computed location link for data browser/map jump.
sigurd,dragonsbreath_tower,any,,fallback_unlock_location,Computed location link for data browser/map jump.
luz,reverent_shrine,any,,appears_at,Computed location link for data browser/map jump.
gautstafr,windwalkers_home,any,,appears_at,Computed location link for data browser/map jump.
cliodhna,windwalkers_home,any,,appears_at,Computed location link for data browser/map jump.
lamond,volcanic_island_hot_springs,any,,appears_at,Computed location link for data browser/map jump.
dragonforged_npc,dragonforged,any,,appears_at,Computed location link for data browser/map jump.
glyndwr,rodericks_smithy,any,quest_available:gift_of_the_bow,quest_start,Starts elven archer questline from Vernworth merchant quarter context.
glyndwr,sacred_arbor,any,quest_active:a_trial_of_archery,quest_progress,Questline moves toward Sacred Arbor/Ancestral Chamber.
earland,earland_bakbattahl_east_stall,any,,sells_at,Newt Liqueur vendor source; verify in-game.
ibrahim,ibrahims_scrap_store,any,,sells_at,Beastren Mask vendor route.
