npc_key,name,npc_type,default_location_key,region_key,is_essential,is_missable,spoiler_level,short_description,notes,source_key
lennart,Lennart,quest_npc,melve,vermund,1,0,1,Melve NPC tied to early route context.,Used in early Melve story progression.,game8
gregor,Gregor,quest_npc,melve,vermund,1,0,1,Escort/capital route NPC in early story path.,Used for Melve to Vernworth route context.,game8
brant,Brant,quest_npc,stardrop_inn,vermund,1,0,1,Captain Brant gives several early Vernworth main quests.,Hub for early Vernworth power base.,game8
klaus,Klaus,quest_npc,vernworth_vocation_guild,vermund,1,0,1,Vernworth Vocation Guild NPC for Vocation Frustration.,Unlock route NPC for Warrior/Sorcerer.,game8
roderick,Roderick,vendor_npc,rodericks_smithy,vermund,1,0,0,Vernworth blacksmith tied to Vocation Frustration clue.,Sells/represents early weapon upgrade context.,game8
ulrika,Ulrika,quest_npc,melve,vermund,1,1,2,Melve NPC tied to Readvent of Calamity progression.,Later romance/Harve route context.,game8
sigurd,Sigurd,maister,melve,vermund,1,1,2,Mystic Spearhand maister/unlock NPC.,First opportunity appears around Readvent of Calamity; fallback at Dragonsbreath Tower.,game8
luz,Luz,maister,reverent_shrine,battahl,1,0,2,Trickster unlock NPC at Reverent Shrine.,Can unlock Trickster without full quest chain.,game8
gautstafr,Gautstafr,quest_npc,windwalkers_home,volcanic_island,1,0,2,Dwarf NPC for Put a Spring in Thy Step.,Leads to Magick Archer unlock through Cliodhna.,game8
cliodhna,Cliodhna,maister,windwalkers_home,volcanic_island,1,0,2,Magick Archer unlock/Maister NPC.,Unlocks Magick Archer after Put a Spring in Thy Step.,game8
lamond,Lamond,maister,volcanic_island_hot_springs,volcanic_island,1,0,2,Warfarer unlock NPC at Volcanic Island hot springs.,Requires Newt Liqueur turn-in.,game8
dragonforged_npc,Dragonforged,special_vendor,dragonforged,volcanic_island,1,0,2,Special late-game vendor/NPC.,Used for future Dragonforged/high-end gear route.,game8
glyndwr,Glyndwr,quest_npc,rodericks_smithy,vermund,1,0,1,Elven archer tied to Gift of the Bow and A Trial of Archery.,Used for Portcrystal quest reward route.,game8
earland,Earland,merchant,earland_bakbattahl_east_stall,battahl,0,0,2,Merchant source for Newt Liqueur in East Bakbattahl.,Cross-checked with public guide sources; exact route/availability should be verified.,gamesradar
ibrahim,Ibrahim,merchant,ibrahims_scrap_store,battahl,0,0,1,Checkpoint Rest Town scrap-store merchant.,Useful for Beastren Mask route before Higg's Tavern Stand.,siliconera
sonia,Sonia,quest_npc,vernworth_castle_guardhouse,vermund,1,0,1,Guard who helps route the player into the castle during Disa's Plot.,Act 1 castle infiltration context.,game8
sven,Sven,quest_npc,vernworth,vermund,1,0,1,Regentkin and sidequest NPC for The Ornate Box.,Useful optional courtly attire source.,game8
waldhar,Waldhar,quest_npc,vernworth_castle_gaol_tower,vermund,1,0,1,Magistrate imprisoned in Vernworth Castle Gaol Tower.,Main objective for The Caged Magistrate.,game8
kendrick,Kendrick,quest_npc,gracious_hand,vermund,1,0,1,Gracious Hand NPC for The Heel of History.,Speak to him to open the archive route.,game8
malcolm,Malcolm,quest_npc,gracious_hand_vaults,vermund,1,0,1,Child found during The Heel of History.,Guides the route to the archive/tomes.,game8
flaude,Flaude,maister,nameless_village_old_manor,vermund,1,0,1,Thief Maister at the Nameless Village Old Manor.,Route can claim Blades of the Pyre scroll for future Thief route.,game8
srail,Srail,maister,nameless_village_depths,vermund,1,0,1,Inner thief-guild NPC in Nameless Village Depths.,Gives evidence and high-value Thief maister content.,game8
wilhelmina,Wilhelmina,quest_npc,vernworth_hall,vermund,1,1,2,Vernworth character tied to masquerade/castle questline.,Route flags related content before Feast of Deception.,game8
allard,Allard,quest_npc,allards_chambers,vermund,1,0,2,Noble tied to An Unsettling Encounter.,Chamber search route context.,game8
dylan,Dylan,quest_npc,harve_village,vermund,0,0,1,Harve Village soldier context for Monster Culling.,Route marker for Stormwind Cave rescue leg.,game8
