route_key,step_key,requirement_type,requirement_key,operator,requirement_value,logic_group,is_hard_requirement,notes
fighter_op_fast_manual,borderwatch_supplies,route_milestone,route_milestone:borderwatch_started,exists,,all,1,Auto chain requirement for Fighter OP Fast Manual route.
fighter_op_fast_manual,travel_to_melve,route_milestone,route_milestone:borderwatch_supplies_checked,exists,,all,1,Auto chain requirement for Fighter OP Fast Manual route.
fighter_op_fast_manual,visit_melve,location,location_reached:melve,exists,,all,1,Auto chain requirement for Fighter OP Fast Manual route.
fighter_op_fast_manual,secure_melve_checkpoint,location,location_reached:melve,exists,,all,1,Auto chain requirement for Fighter OP Fast Manual route.
fighter_op_fast_manual,travel_melve_to_vernworth,route_milestone,route_milestone:melve_secured,exists,,all,1,Auto chain requirement for Fighter OP Fast Manual route.
fighter_op_fast_manual,reach_vernworth,location,location_reached:vernworth,exists,,all,1,Auto chain requirement for Fighter OP Fast Manual route.
fighter_op_fast_manual,check_vernworth_shops,location,location_reached:vernworth,exists,,all,1,Auto chain requirement for Fighter OP Fast Manual route.
fighter_op_fast_manual,speak_roderick,route_milestone,route_milestone:vernworth_base_ready,exists,,all,1,Auto chain requirement for Fighter OP Fast Manual route.
fighter_op_fast_manual,accept_vocation_frustration,npc,npc_spoken:roderick_vocation_frustration,exists,,all,1,Auto chain requirement for Fighter OP Fast Manual route.
fighter_op_fast_manual,prepare_for_trevo_mine,quest,quest_active:vocation_frustration,exists,,all,1,Auto chain requirement for Fighter OP Fast Manual route.
fighter_op_fast_manual,travel_to_trevo_mine,route_milestone,route_milestone:trevo_prepared,exists,,all,1,Auto chain requirement for Fighter OP Fast Manual route.
fighter_op_fast_manual,enter_trevo_mine,location,location_reached:trevo_mine,exists,,all,1,Auto chain requirement for Fighter OP Fast Manual route.
fighter_op_fast_manual,clear_trevo_mine,dungeon,dungeon_entered:trevo_mine,exists,,all,1,Auto chain requirement for Fighter OP Fast Manual route.
fighter_op_fast_manual,collect_greatsword,dungeon,dungeon_cleared:trevo_mine,exists,,all,1,Auto chain requirement for Fighter OP Fast Manual route.
fighter_op_fast_manual,collect_archistaff,dungeon,dungeon_cleared:trevo_mine,exists,,all,1,Auto chain requirement for Fighter OP Fast Manual route.
fighter_op_fast_manual,exit_trevo_mine,item,item_obtained:two_hander,exists,,all,1,Auto chain requirement for Fighter OP Fast Manual route.
fighter_op_fast_manual,exit_trevo_mine,item,item_obtained:grievous_horns,exists,,all,1,Auto chain requirement for Fighter OP Fast Manual route.
fighter_op_fast_manual,return_to_vernworth,dungeon,dungeon_exited:trevo_mine,exists,,all,1,Auto chain requirement for Fighter OP Fast Manual route.
fighter_op_fast_manual,unlock_warrior_sorcerer,quest,quest_turnin_ready:vocation_frustration,exists,,all,1,Auto chain requirement for Fighter OP Fast Manual route.
fighter_op_fast_manual,first_op_milestone,quest,quest_completed:vocation_frustration,exists,,all,1,Auto chain requirement for Fighter OP Fast Manual route.
